username,user id,access hash,name,group,group id
,566530427,-8871619571443846306,Zachariah,NIFTY-STOCK TALKS,1069447910
,746289479,-565378097994549926,Zaki Ansari,NIFTY-STOCK TALKS,1069447910
bu_zzz,726927180,1511458588494078603,Asif,NIFTY-STOCK TALKS,1069447910
,370643414,9064350772349108703,Safwan Zaid,NIFTY-STOCK TALKS,1069447910
Zzjwjw,242655434,2900642462681504247,Sanjuz,NIFTY-STOCK TALKS,1069447910
Zainjawad,650698139,-1471507554394365791,M.M Jawad,NIFTY-STOCK TALKS,1069447910
,427602642,-5666331332704489967,Zs,NIFTY-STOCK TALKS,1069447910
,914066509,-5943354603533551440,Z,NIFTY-STOCK TALKS,1069447910
ZzituWilson,616576443,7906799343366273641,Zzitu Wilson,NIFTY-STOCK TALKS,1069447910
,319073782,6894318294268926042,Bhagwan Zade,NIFTY-STOCK TALKS,1069447910
zeeeeeee,245988675,-8616224691638084632,zee,NIFTY-STOCK TALKS,1069447910
sayyamchipad,484115933,8981194880410758793,Raj zain,NIFTY-STOCK TALKS,1069447910
,516178453,7677401315595463853,zubi,NIFTY-STOCK TALKS,1069447910
,569934269,7032660844927253073,z s,NIFTY-STOCK TALKS,1069447910
Zz_ayda_zZ,576981046,-8777428292751533008,Ayda jain,NIFTY-STOCK TALKS,1069447910
,771571316,-915651906788779070,TRADER ZONE,NIFTY-STOCK TALKS,1069447910
Mr_AN0nymoUsS,738524957,1925622374943012972,Zakee Mohammed,NIFTY-STOCK TALKS,1069447910
,487912423,-3461340934347347366,S ZORE,NIFTY-STOCK TALKS,1069447910
,744688729,6213942386947576083,Zeel Goswami,NIFTY-STOCK TALKS,1069447910
,718712978,4525167200614526151,Zainal Perry,NIFTY-STOCK TALKS,1069447910
,316921303,6249512246651969217,Zohar,NIFTY-STOCK TALKS,1069447910
,408098497,682258303242727640,Zaid,NIFTY-STOCK TALKS,1069447910
VENOM700,578277212,7709830134645523491,Zeyan Khan,NIFTY-STOCK TALKS,1069447910
Zidhagi,562577230,4847193640681893029,latha Latha,NIFTY-STOCK TALKS,1069447910
,786802712,-6640228870897067723,Mohan Zanjal,NIFTY-STOCK TALKS,1069447910
ZEUS_001,340064795,3192030933899902314,Sanket,NIFTY-STOCK TALKS,1069447910
Sachh20,742769310,-925293607531949555,Sachin Zawar,NIFTY-STOCK TALKS,1069447910
,771772475,1239880109336536785,Mohammed Zeeshan,NIFTY-STOCK TALKS,1069447910
,697155196,-4257362388788423840,zzz,NIFTY-STOCK TALKS,1069447910
ztradescience,745889826,890876582299984839,Jeevan z trade Faulal,NIFTY-STOCK TALKS,1069447910
,867847299,-15139310848519321,jigar zaveri,NIFTY-STOCK TALKS,1069447910
,589672423,-903000916097055974,Zee,NIFTY-STOCK TALKS,1069447910
,501629593,-5330841833420344737,Jigar Zaveri,NIFTY-STOCK TALKS,1069447910
Life_z_Good,791626943,-7331703428589161965,Love 😍,NIFTY-STOCK TALKS,1069447910
,847980939,2899790509732102299,Hari Zul,NIFTY-STOCK TALKS,1069447910
Zoretox,787855013,-4380943467792837376,Aditya Yadav,NIFTY-STOCK TALKS,1069447910
,223703105,-4561328415656081439,Mujeeb Zynel,NIFTY-STOCK TALKS,1069447910
Zenwarrior7,344275483,5260080840087448516,Pravin Bang,NIFTY-STOCK TALKS,1069447910
,758094516,-6164394816840022731,Zaheerabbas Inamdar,NIFTY-STOCK TALKS,1069447910
Ziiiprincess,678863479,3993765596959172495,Fazila Tabassum,NIFTY-STOCK TALKS,1069447910
Zubaid,735705161,469271054879002016,Sayyad Zubed,NIFTY-STOCK TALKS,1069447910
,632345818,-8202178649796636000,Naval Zanvar,NIFTY-STOCK TALKS,1069447910
,733565786,-1932093005914600052,Zak,NIFTY-STOCK TALKS,1069447910
,506488531,487365880135143652,Zerodha,NIFTY-STOCK TALKS,1069447910
,451678168,5803202969562871494,md zahid hussain,NIFTY-STOCK TALKS,1069447910
,731162679,3159159493945707897,Zeenat,NIFTY-STOCK TALKS,1069447910
,672626420,-4177740461223179148,Zack Daimary,NIFTY-STOCK TALKS,1069447910
,562874342,5836927212873413878,Swapnil Zade,NIFTY-STOCK TALKS,1069447910
zpyzo,381306733,-6843221009259713029,Zpyzo Yoman,NIFTY-STOCK TALKS,1069447910
Zephyr_31,652423711,-5406497149466310709,Narender Singh,NIFTY-STOCK TALKS,1069447910
,788634152,-483647872042327716,Zeel,NIFTY-STOCK TALKS,1069447910
Zindagi_2_pal_ki,493995609,-8615317446741021735,Do Pal Ki Zindagi,NIFTY-STOCK TALKS,1069447910
,617524496,8521050642593298076,sharib zaman,NIFTY-STOCK TALKS,1069447910
Zeest_123,83197629,-5551854829984483133,A G,NIFTY-STOCK TALKS,1069447910
,370269588,8997042637128720829,Zaka,NIFTY-STOCK TALKS,1069447910
zenxc99,472797598,-6564760210573788414,Chet,NIFTY-STOCK TALKS,1069447910
LeoZ81,42591175,-4099642509312324483,L Z,NIFTY-STOCK TALKS,1069447910
dhamodi,343602204,1314797108218278763,Zubin,NIFTY-STOCK TALKS,1069447910
ziaullakhan,406271138,7838975017104106912,Zia Khan,NIFTY-STOCK TALKS,1069447910
,590211870,4548898552469794273,Zahir Hirani,NIFTY-STOCK TALKS,1069447910
,475734632,-5397707345165573884,Murtuza Zaveri,NIFTY-STOCK TALKS,1069447910
zah_123,222894160,3739074562136553683,Althaf A,NIFTY-STOCK TALKS,1069447910
,498811442,-6346811778152466115,ZEESHAN AHMED KHAN,NIFTY-STOCK TALKS,1069447910
,580480797,-7620825885999639076,Anand Zade,NIFTY-STOCK TALKS,1069447910
,451577655,-4719170412085329422,Uday zope,NIFTY-STOCK TALKS,1069447910
,461561449,-4895940399541740899,Z N,NIFTY-STOCK TALKS,1069447910
,515506350,-7923316790783231815,Profit Zone,NIFTY-STOCK TALKS,1069447910
,418544169,4015767334771400019,Zain,NIFTY-STOCK TALKS,1069447910
,76745749,-2484819219491511104,zp pz,NIFTY-STOCK TALKS,1069447910
,413989243,5570946036901341530,Zoravar Bakhshi,NIFTY-STOCK TALKS,1069447910
zulekhag,424399479,-2991485391156018398,Zulekha,NIFTY-STOCK TALKS,1069447910
,254875546,6535174422615526260,Zil S,NIFTY-STOCK TALKS,1069447910
yogesh775,442852649,-2250236744314010532,Yogesh Yadav,NIFTY-STOCK TALKS,1069447910
vishwasYadavv,745225823,-107837159264730895,vishwas yadav,NIFTY-STOCK TALKS,1069447910
,600847710,9162782334129068103,Yogesh Gharjale,NIFTY-STOCK TALKS,1069447910
Rainbowsharetradingcalls,915840546,5004048243354491704,Yash,NIFTY-STOCK TALKS,1069447910
,623968923,-6067099219916500592,Yohan,NIFTY-STOCK TALKS,1069447910
,927357110,-3945345927104559143,Yogendra,NIFTY-STOCK TALKS,1069447910
,667974567,-301231637781833826,Yogi Guruananda,NIFTY-STOCK TALKS,1069447910
,231154997,6964996509228157057,Yogesh,NIFTY-STOCK TALKS,1069447910
yashpotel,459668793,5684714088740948814,Yash Patel,NIFTY-STOCK TALKS,1069447910
,561021438,25305194752150875,manjunatha ys,NIFTY-STOCK TALKS,1069447910
,743735899,3459036381520572798,Yogesh Nagori,NIFTY-STOCK TALKS,1069447910
,407364303,7491630332611545223,Sunil Yadav,NIFTY-STOCK TALKS,1069447910
,585958333,8100613873161961744,Amol Yadav,NIFTY-STOCK TALKS,1069447910
soorajyadav,578093778,1738314230266357984,Sooraj Yadav,NIFTY-STOCK TALKS,1069447910
,989700727,-7797659843478468603,BAMNIKAR YOUSUF,NIFTY-STOCK TALKS,1069447910
,667911821,5997544945909994934,Yashavant Bhangale,NIFTY-STOCK TALKS,1069447910
,704422764,-357129472439658942,Yogesh,NIFTY-STOCK TALKS,1069447910
YJooooo,625531909,-489684451924777875,Yogi,NIFTY-STOCK TALKS,1069447910
,613225681,-7388608378932224160,yalda Jisa,NIFTY-STOCK TALKS,1069447910
,628739123,1867428180587162951,yalda mahin,NIFTY-STOCK TALKS,1069447910
,640877492,-3591130492025513090,yalda jabar,NIFTY-STOCK TALKS,1069447910
,670319655,6845708272716309539,yalda mahan,NIFTY-STOCK TALKS,1069447910
,765216959,-4451662652435520138,Jordana yaris,NIFTY-STOCK TALKS,1069447910
,624710243,-3128701969215521107,maryam yalda,NIFTY-STOCK TALKS,1069447910
,701274612,7090126409463868537,yalda Jasone,NIFTY-STOCK TALKS,1069447910
,735006359,-3914911408127024633,yaris Josefina,NIFTY-STOCK TALKS,1069447910
,762854381,-2450303332475687684,yalda mansur,NIFTY-STOCK TALKS,1069447910
,773491422,1448640013207940606,yaris farhad,NIFTY-STOCK TALKS,1069447910
,784127656,-7679601516480756191,yalda taymor,NIFTY-STOCK TALKS,1069447910
,789105986,1157455087860780292,yalda Jesusa,NIFTY-STOCK TALKS,1069447910
,556734253,4603898220407270011,Josilene yaris,NIFTY-STOCK TALKS,1069447910
,634973727,-5531493073159513537,Josune yalda,NIFTY-STOCK TALKS,1069447910
,731228956,-8856384892363640107,Jisa yalda,NIFTY-STOCK TALKS,1069447910
,732802935,-1996370997219951592,maryam yalda,NIFTY-STOCK TALKS,1069447910
Jorgelina_Senobia_21,738857005,5703926169761599082,yalda farhad,NIFTY-STOCK TALKS,1069447910
,742162403,-3568730740702113905,aghbal yalda,NIFTY-STOCK TALKS,1069447910
Selena_Senona_27,748707371,6371074629456969156,yalda taymor,NIFTY-STOCK TALKS,1069447910
,765135658,8359195022961946605,behrooz yalda,NIFTY-STOCK TALKS,1069447910
,451716130,-4895883101768626546,yalda Jordana,NIFTY-STOCK TALKS,1069447910
,633452817,-7060698748258008665,yaris Jorgelina,NIFTY-STOCK TALKS,1069447910
,698361489,-7925620092443061408,J@Y MISHRA,NIFTY-STOCK TALKS,1069447910
reach_dky,483991799,5363103507988968652,Dilip Kumar Yadav,NIFTY-STOCK TALKS,1069447910
,605806420,2236522345706384233,Y S,NIFTY-STOCK TALKS,1069447910
Mukeshji143,398060381,-5548089765437970150,Yaaro ke Yaar,NIFTY-STOCK TALKS,1069447910
,574618500,5284541710814754564,Yash,NIFTY-STOCK TALKS,1069447910
,330771460,-3905810754672134870,Yogesh,NIFTY-STOCK TALKS,1069447910
Yadav621,861148315,-6634246015164047727,S Yadav,NIFTY-STOCK TALKS,1069447910
,939860121,7283662062811991500,Yxng Hani,NIFTY-STOCK TALKS,1069447910
yogiguruananda,349048297,-5798977196580255354,APASB,NIFTY-STOCK TALKS,1069447910
,690289176,-3177912151483190067,yd,NIFTY-STOCK TALKS,1069447910
,443627095,5959434856130229238,Mr.Yogi,NIFTY-STOCK TALKS,1069447910
